CANONICAL_SMILES,MOLREGNO
CCOC(=O)c1ccc(NC(=O)C(=O)NCC2CCCO2)cc1,989295
CC(C)NC(=O)N1CCC2(CC1)CCN(CC2)C(=O)Oc3ccccc3,1026392
CCN1CCN(CC1)C2=CC(=O)N(C(=O)N2)c3cc(Cl)ccc3C,742698
CN1CCN(CC1)c2nc3N(C)C(=O)N(C)C(=O)c3n2C,1120825
O[C@@H]1[C@H]2O[C@@H]2C3(OCCCO3)C4=CC[C@H]5[C@@H]([C@H]14)C(=O)N(Cc6ccccc6)C5=O,752491
ClC1=C(Cl)c2ccccc2C(=O)O1,32349
CC1(C)N(O)C(=[N+]([O-])C1(C)C)c2ccc(cc2)C(=O)O,461821
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)[C@@H](O)CNC(C)(C)C,761725
CC(C)CN1CCC2(CC1)CCN(CC2)C(=O)c3cccn3C,819984
OC[C@H]1NC[C@H](O)[C@@H](O)[C@H]1O,178290
FC(F)(F)c1cc(cc(c1)C(F)(F)F)C(=O)N2CCC3(CC2)CN(C3)c4ccncc4,819314
CC(C)CN1CCC2(CC1)CCN(CC2)S(=O)(=O)c3ccccc3,938281
O=C1N(Cc2ccccc2)C=CC=C1c3nc4ccccc4s3,1008407
CC[C@@]1(CCCCN(C)C1)c2cccc(O)c2,740507
O=C(CN1C(=O)c2ccccc2S1(=O)=O)Nc3ccccc3,808686
COc1cccc(Cn2nnc3c(O)nc(nc23)C4CCCN(C4)C(=O)c5ccccc5Cl)c1,813068
CCOC(=O)CCN1C(=O)[C@H]2CC[C@H]3[C@H]([C@H](O)[C@H](O)C/C/3=N/OCC(C)C)[C@@H]2C1=O,975045
OC(=O)\C=C/c1c[nH]cn1,740610
CC[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@H](OC(=O)C)[C@@H](N)C[C@@]4(C)[C@H]3CC[C@@]12C.CC(=O)O,842426
CN(C)CCSS(=O)(=O)O,1121087
CCSC1=Nc2sc3c(CCc4ccccc34)c2C(=O)N1CC=C,914027
CN1C(=O)C(=Nc2cnc(OCc3ccccc3)nc12)C,896571
Cc1cc(C)c(C#N)c(SC[S+]([O-])c2ccc(cc2)C(C)(C)C)n1,793515
NCCc1c[nH]cn1,8910
O=C(N1CCC2(CCCN(Cc3ccccc3)C2)CC1)c4occc4,820109
CC(C)NC(=O)CSc1nnc(C2CC2)n1c3ccccc3,788710
COC(=O)C\C=C/[C@@H](C)[C@H](NS(=O)(=O)c1ccc(C)cc1)\C=N/OC[C@@H](C)[C@H](OCc2ccccc2)C(C)C,820990
Oc1nc(CSc2nnc(c3ccccc3)n2C4CCCCC4)nc5ccccc15,755137
CN1C(=O)N(C)c2[nH]c(N=NN3CCN(CCO)CC3)nc2C1=O,1121121
COc1ccc(C[C@@H](N)c2ccc(OC)cc2)cc1,1036230
COC(=O)CCC(=O)C1=C(CC(C)(C)CC1=O)NCC=C,1092609
CC(C)COc1ccc(cc1)C(=O)Nc2sc(C)c(c3ccc(Cl)cc3Cl)c2C(=O)N,951756
CN(C)c1ncc2N=C(C(=O)N(C3CC3)c2n1)c4ccc(Cl)cc4,827977
CCNc1ncc2N=C(C(=O)N(CCc3ccccc3)c2n1)c4cccs4,819315
COc1cc(O)oc1\C=N\c2ccc(cc2)C(F)(F)F,1679545
Fc1ccccc1n2ccc(n2)C3=NN(C=CC3=O)c4cccc(c4)C(F)(F)F,983534
COc1ccc2CCc3sc(NC(=O)c4cccs4)nc3c2c1,986217
CCC(=O)O[C@H](CC(=O)[O-])C[N+](C)(C)C,1826025
CC(C)(CNC(=O)c1ccc(c(Cl)c1)[N+](=O)[O-])CNC(=O)c2ccc(c(Cl)c2)[N+](=O)[O-],965402
COc1ccc(NC(=O)COC(=O)CCCc2c[nH]c3ccccc23)cc1OC,748775
CCN(CC)c1ccc(NC(=O)CN2CCN(CC2)c3ccccc3F)cc1,951247
CCCc1cc2C3C(CN(C(=O)c4ccccc4)C3(C)C(=O)OC)C(C)c2n1Cc5cccc(Cl)c5,877128
Fc1ccc(cc1F)C2=Nc3cncnc3N(C4CC4)C2=O,738270
COc1ccc2cc(CCC(=O)C)ccc2c1,139210
OC(=O)C(=Cc1ccnc2ccccc12)C(=O)O,1121219
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3cccc(c3)C(F)(F)F,14882
COc1ccc(cc1)C2=NOC(C2)C(=O)NCCN3CCOCC3,748995
C\C(=N/NC(=O)COc1ccc(Cl)cc1)\CC(=O)NCCCN2CCOCC2,1683986
CN(C)Cc1ccccc1c2nc(NC3CCNCC3)c4ccccc4n2,913330
O=C(CSC1=Nc2ccccc2C(=O)N1CCCC(=O)N3CCCC3)NCc4occc4,981483
CC(C)OCCCNC(=O)C[S+]([O-])Cc1nc(oc1C)c2cccs2,925391
Cc1ccc(cc1C)C(=O)COC(=O)c2ccccc2N3C(=O)C4C5CCC(C5)C4C3=O,1121262
Cc1nc(sc1C(=O)Nc2ccc(Cl)cc2)c3cccnc3,914704
CNCC[C@H](Oc1ccccc1OC)c2ccccc2,833661
NC1=NC(=O)N(C=C1)[C@@H]2O[C@@H](CO)[C@@H](O)[C@H]2O,739226
O=C(N1CCC[C@@]2(CCN(C2)c3ccncc3)C1)c4cnccn4,740412
COc1ccc(O[C@H]2C=C[C@H](O[C@H]2CO\N=C(\C)/CCC(=O)OC[C@@H]3O[C@@H](C=C[C@@H]3Oc4ccc(C)cc4)C#Cc5ccccc5)c6ccccc6)cc1,978701
C1c2ccccc2c3ccc(cc13)\N=C/c4ccccn4,802642
CO[C@H]1COC(=O)C\C=C/[C@@H](C)[C@@H](COC(=O)[C@H]2CCCN2C(=O)C\C=C/[C@@H]1C)OC,898381
CN1C(=O)C=C(OCCCC(=O)Nc2cccnc2)c3ccccc13,776650
CC(C)Cn1cnc2c(SCc3ccccn3)nc(N)nc12,1120809
COc1ccc(NC(=O)CSc2nc3ccccc3cc2Cc4ccccc4)cc1,730601
COCC1[C@@H](C)C2=C3C(CC[C@H]4C(OCc5ccc(OC)cc5)OC[C@](C)([C@@H]34)N(C2)C(=O)OC(C)(C)C)C1COC,907916
CCOC(=O)c1c(cn2ccccc12)c3ccccc3,949053
CCN1C(=O)C=CC1=O,3889
CN(C)C(=O)c1ccc(cc1)c2cncnc2N(C)Cc3occc3,913095
COc1c(OC[C@H](O)C(C)(C)O)ccc2c(OC)c3ccoc3nc12,741184
COc1ccc(cc1OC)C2C3=C(Oc4ccc5ccccc5c24)N=CN(CCN6CCOCC6)C3=N,762316
CC(C)(C)C(=O)Nc1cccc(c1)C2=Nc3ccccc3C(=O)O2,874037
CCCNc1c(F)c(F)c2c(C)c3ccccc3nc2c1F,990568
CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@H]2C[C@@H]1C[C@H]4NCCc5c4[nH]c6ccc(O)cc56,793145
CC1=C(\C=N\c2ccc3[nH]c(O)nc3c2)C(=O)N(N1)c4ccc(C)c(C)c4,1634574
CC[C@](N)(CCC(=O)O)C(=O)O,874350
Fc1ccc(cc1)C(OCCN2CCN(CCCc3ccccc3)CC2)c4ccc(F)cc4,24971
CN1C(=O)NC(=O)c2c1nc(CN3CCOCC3)n2Cc4ccccc4,1036859
CN(C)c1ccc(cc1)c2ccc3ncnc(NCc4ccccc4)c3c2,461443
COCC(=O)N1CCC2(CCCN(Cc3ccccc3OC)C2)CC1,838808
O.[Na+].CCN1C=C(C(=O)[O-])C(=O)c2ccc(C)nc12,1120253
CCOc1ccccc1NC(=O)CSc2nnc(c3cnccn3)n2C,1101922
Cc1cc(C(=O)CC#N)c(C)n1CC(F)(F)F,1115843
O[Si@@](CCCN1CCCCC1)(C2CCCCC2)c3ccc(F)cc3,1024226
OC(=O)CC1(CCCCC1)C(=O)O,911024
N[C@H](CCC\N=C(\N)/S)C(=O)O,284386
[Na+].[Na+].CC(O)(P(=O)(O)[O-])P(=O)(O)[O-],674993
OC(=O)[C@H](\C=C/c1ccccc1)c2ccccc2,1121059
COc1ccccc1NC(=O)CN2CCC(CC2)C(=O)c3ccc(F)cc3,881438
CCN1CCC[C@H]1CNC(=O)c2cc(ccc2OC)S(=O)(=O)N,4671
COc1ccc(cc1)C(=O)N2CCC3(CCCN(Cc4cc(cc(c4)C(F)(F)F)C(F)(F)F)C3)CC2,1016099
COc1ccc(NC(=O)N2CCCC3(CCN(CC3)C(=O)c4cc(cc(c4)C(F)(F)F)C(F)(F)F)C2)cc1,818065
C[n+]1cccc(\C=C/c2ccc3cccc(O)c3n2)c1,1120313
COc1ncc2N=C(C)C(=O)N(C3CC3)c2n1,802785
CC(=O)N[C@@H](C(=O)O)C(C)(C)SN=O,114981
COc1ccc(cc1OC)C2(C)NC(=O)N(CC(=O)Nc3ccc4OCOc4c3)C2=O,893481
COc1ccc(cc1)C(=O)N2CCC3(CC2)CN(C3)c4ccncc4,1015731
COC(=O)[C@@]1(Cc2ccccc2)[C@@H]3[C@H](CN1C(=O)c4ccccc4)Cc5c3cc(C(=O)N(C)C)n5CCSCCO,1026517
CC1(C)OC(=O)N(c2ccccn2)C1(C)O,901714
OC(=O)C[C@H](C1c2ccccc2c3ccccc13)C(=O)O,741270
CN(C(=O)c1cccnc1)c2nnc(s2)c3ccc(C)cc3,890559
CN(C)C(=N)NCCC[C@H](N)C(=O)O,446789
Cl.CCSc1oc(nn1)[C@@H](N)Cc2c[nH]c3ccccc23,925697
OC(=O)C\C=C/CC(=O)O,870030
CCOC(=O)C1=C(CSc2nc3ccccc3s2)NC(=O)NC1c4cccc(c4)[N+](=O)[O-],933254
OC(=O)c1nnsc1c2csnn2,1120824
COCCNC(=O)CCN1C(=O)Oc2ccccc12,827736
CCCCCCCCCCCCCC(=O)O[C@H]1[C@@H](C)[C@@]2(O)[C@@H](C=C(CO)C[C@@]3(O)[C@H]2C=C(C)C3=O)[C@H]4C(C)(C)[C@@]14OC(=O)C,1548084
OC(=O)[C@H]1[C@H]2CC[C@H](O2)[C@@H]1C(=O)Nc3cccc4cccnc34,858048
N[C@@H](CCCNC(=N)NO)C(=O)O,431204
COc1cc(CNC(=O)CCCCCCC(C)C)ccc1O,124942
COc1cccc(c1)c2nc(NC3CC3)c4ccccc4n2,781177
CC(C)C(=O)NCCn1ccc2ccccc12,755021
COc1ccc(cc1)C(=O)N2CC3(C[C@H]2C(=O)NCC(=O)N)CC(=NO3)c4cccc(c4)[N+](=O)[O-],760309
O=C(Nc1ccc(cc1)S(=O)(=O)N2CCCC2)c3ccc(CN4CCOCC4)cc3,1031291
COCCN1C(=O)C=Nc2cnc(nc12)N3CCNCC3,1017254
Fc1cccc(Cl)c1CSCC(=O)NCC2CCCO2,962782
COc1ccc(\C=C\2/N=C(OC2=O)c3c(C)onc3c4ccccc4)cc1OC,895128
CCCN(CCC)S(=O)(=O)c1ccc(cc1)C(=O)O,77474
O=C(N1CCN(CC1)c2ncccn2)c3ccc4nc(c5occc5)c(nc4c3)c6occc6,1008712
Cc1cc(ccc1P(=O)(O)O)[C@](C)(N)C(=O)O,1017659
CCOc1ccc(cc1)c2oc(nn2)c3ccncc3,984371
CC1=C(C(=O)Nc2ccc(Cl)cn2)C(=CC(=O)O1)C,917111
CCOC(=O)C1=C(N=C2S\C(=C/c3ccc(O)cc3)\C(=O)N2C1c4cccs4)c5ccccc5,1299000
COc1ccc2c(c1)C(=O)N(CCc3ccc(cc3)S(=O)(=O)NC(=O)NC4CCCCC4)C(=O)C2(C)C,341224
COCCCN=C(S)NC1CC2CCCC(C1)N2Cc3cccs3,965966
C[C@]1([C@H]2CC[C@H](O2)[C@]1(C)C(=O)O)C(=O)O,697070
CC(C)[C@H](NC(=O)OC(C)(C)C)[C@@H](O)CC(=O)OC(C)(C)C,1028767
Clc1ccc(cc1)S(=O)(=O)NNC(=O)NC2CCCCC2,1025392
Cc1oc(cc1C(=O)Nc2cccc(\C=C\C(=O)O)c2)C(C)(C)C,723157
COc1ccc(cc1)N2C(=O)C(=Nc3cnc(nc23)N4CCNCC4)c5ccc(Cl)cc5,1017545
Clc1ccccc1CN2C(=O)C=Nc3cncnc23,857667
C=CCNS(=O)(=O)c1ncnc2[nH]cnc12,756004
C[C@@]12C[C@@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]34C)[C@H]1CC[C@H]2C(=O)CO,957822
Cl.CC1=CC=CN2CC(O)CN=C12,908276
CC(C)C(=O)N\N=C\c1ccc(OCc2ccccc2)cc1,1699624
CCCNC(=O)c1cc2c(nn(C)c2s1)C(F)(F)F,829744
CO[C@@H]1\C=C/CC(=O)N2CCC[C@@H]2C(=O)OC[C@@H](C)C(=O)OC[C@H]1C,1121174
COc1ccc(NC(=O)CC2N(C3CCCCC3)C(=O)N(C2=O)c4cccc(OC)c4)cc1,1120936
