ID	STANDARD_VALUE
757750	*
742628	*
1700753	*
757626	3548.13
787156	7943.28
1120959	*
877783	*
1120883	*
1120543	15848.93
998032	*
1089378	7079.46
803192	*
1120410	*
929332	8912.51
1696987	*
740864	*
780220	1584.89
509577	*
996739	*
1011952	*
821681	*
1030221	6309.57
745603	25118.86
1009189	6309.57
747239	7943.28
370657	*
821350	12589.25
887427	10000.0
1683121	1995.26
779140	6309.57
891055	11220.18
767534	*
819021	12589.25
98257	*
801410	3981.07
772136	11220.18
1024374	3162.28
1120362	*
762242	*
858701	25118.86
994735	*
865171	15848.93
815879	891.25
775288	31622.78
1107416	12589.25
728454	2238.72
817973	12589.25
898165	15848.93
1080345	*
1026579	*
1120749	*
937684	25118.86
898186	10000.0
975668	*
1105879	*
244099	10000.0
1027947	*
24698	*
883490	3162.28
944611	1000.0
523420	*
863115	*
742379	1258.93
675188	*
915594	*
748479	7943.28
1700594	*
1120950	*
795573	*
1003308	*
937050	*
770123	*
743316	1995.26
57294	*
993842	*
832706	5011.87
320260	2511.89
915772	891.25
786613	3981.07
943021	*
819411	*
975955	6309.57
791362	*
26118	31622.78
966905	*
215566	3162.28
1033154	*
738840	*
848961	12589.25
861406	*
1121122	*
743230	14125.38
754278	12589.25
975702	*
899962	*
861593	*
986676	17782.79
973715	6309.57
1683733	*
831906	*
821167	5011.87
743602	22387.21
483615	*
984514	*
728570	*
782592	12589.25
1016141	19952.62
911378	*
1120962	*
702665	*
976931	*
861541	*
1015847	*
1029806	*
1028282	3981.07
809157	*
782243	3981.07
878593	22387.21
167431	*
927062	8912.51
1021946	1258.93
1699106	*
863515	*
919644	*
747413	*
1024448	*
858631	2511.89
940837	*
1700723	*
1548160	*
918701	*
800506	*
1121063	*
736697	*
825339	*
1120875	14125.38
963147	*
578143	*
992508	*
4542	*
1034950	*
753971	1000.0
979451	3981.07
861060	6309.57
991964	3162.28
779271	3981.07
949121	*
760469	*
917476	1258.93
1021172	6309.57
859721	*
792363	*
935934	630.96
819103	15848.93
782274	*
1082431	*
742683	3162.28
780727	39810.72
85553	*
1018886	*
914381	*
249274	*
460796	630.96
1003351	*
653054	794.33
862296	*
818910	*
898963	12589.25
1299948	*
867052	*
946020	14125.38
384937	*
741768	10000.0
1031081	14125.38
706127	*
1120289	*
942454	1122.02
937900	25118.86
861166	*
796959	*
936830	*
1120872	3981.07
859424	*
1031051	*
739235	*
759710	15848.93
1548081	5011.87
1120640	*
958906	11220.18
821934	*
306688	*
806090	28183.83
728791	*
27342	12589.25
842903	10000.0
1013826	1258.93
726665	*
129410	*
898201	1995.26
1293343	*
807735	*
821647	3981.07
422208	*
1120744	*
1685963	*
1011958	2511.89
795828	3162.28
782515	2511.89
964454	*
56465	*
874955	3981.07
936297	7943.28
731897	891.25
979320	*
751557	*
752916	*
989547	7943.28
818640	5011.87
795187	*
911828	1995.26
972786	25118.86
942573	2511.89
1011491	*
738139	*
976449	*
969291	*
1120486	*
785397	12589.25
901131	*
957618	*
816583	*
2249	12589.25
886937	*
818821	*
997567	*
988068	*
428973	3981.07
86042	10000.0
968945	1778.28
869462	5011.87
1703703	12589.25
738629	12589.25
900776	3162.28
956902	3162.28
940513	*
1022550	*
876778	3162.28
972312	25118.86
918061	*
906764	31622.78
964996	*
1688244	1258.93
943864	7079.46
905472	3162.28
978413	*
826649	*
772065	3162.28
724410	*
857567	*
50269	*
783353	2818.38
